hero_name,total,picks,bans,five_pick,sixseven_pick,eight_pick,fifteen_pick,sixteenseventeen_pick,eighteen_pick,twentythree_pick,twentyfour_pick,firstphase_ban,secondphase_ban,thirdphase_ban,winrate,pick_winrate,ban_winrate,league_name
Razor,30,11,19,0,6,0,0,1,1,3,0,9,3,7,0.5,0.6363636364,0.4210526316, The International 2022'
Lich,30,20,10,0,12,0,4,3,1,0,0,7,3,0,0.5666666667,0.45,0.8, The International 2022'
Ancient Apparition,28,7,21,0,1,0,2,0,2,2,0,0,18,3,0.4642857143,0.2857142857,0.5238095238, The International 2022'
Viper,27,3,24,0,1,0,0,0,1,1,0,1,6,17,0.4814814815,0.6666666667,0.4583333333, The International 2022'
Venomancer,25,9,16,0,0,0,0,3,1,2,3,0,2,14,0.48,0.5555555556,0.4375, The International 2022'
Storm Spirit,25,10,15,0,0,0,0,2,1,4,3,0,3,12,0.48,0.8,0.2666666667, The International 2022'
Earthshaker,24,18,6,0,5,1,3,8,0,1,0,1,4,1,0.2916666667,0.3333333333,0.1666666667, The International 2022'
Shadow Demon,21,7,14,0,1,2,1,3,0,0,0,0,11,3,0.5714285714,0.5714285714,0.5714285714, The International 2022'
Lycan,21,7,14,0,0,0,0,1,2,2,2,0,8,6,0.5238095238,0.4285714286,0.5714285714, The International 2022'
Gyrocopter,21,5,16,0,0,2,0,0,2,0,1,0,12,4,0.5714285714,1,0.4375, The International 2022'
Slardar,20,11,9,0,0,0,0,0,2,5,4,0,3,6,0.55,0.4545454545,0.6666666667, The International 2022'
Mirana,20,12,8,0,1,0,4,3,0,3,1,0,5,3,0.55,0.5833333333,0.5, The International 2022'
Luna,19,12,7,0,1,0,0,2,1,7,1,0,2,5,0.5789473684,0.5,0.7142857143, The International 2022'
Jakiro,19,16,3,0,1,0,4,9,1,0,1,1,2,0,0.5263157895,0.5625,0.3333333333, The International 2022'
Void Spirit,18,9,9,0,0,1,0,2,1,2,3,0,1,8,0.1666666667,0.2222222222,0.1111111111, The International 2022'
Centaur Warrunner,17,10,7,0,1,0,1,3,3,1,1,0,2,5,0.5882352941,0.5,0.7142857143, The International 2022'
Magnus,16,11,5,0,1,1,0,2,0,2,5,0,2,3,0.4375,0.4545454545,0.4, The International 2022'
Timbersaw,16,6,10,0,1,0,1,1,0,1,2,2,3,5,0.5,0.5,0.5, The International 2022'
Nature's Prophet,15,9,6,0,1,1,0,2,0,5,0,1,3,2,0.6,0.5555555556,0.6666666667, The International 2022'
Chaos Knight,15,6,9,0,0,1,0,1,1,1,2,0,5,4,0.5333333333,0.5,0.5555555556, The International 2022'
Dark Seer,15,4,11,0,0,0,0,0,1,0,3,0,4,7,0.5333333333,0.5,0.5454545455, The International 2022'
Troll Warlord,14,8,6,0,0,0,0,0,4,3,1,0,1,5,0.4285714286,0.375,0.5, The International 2022'
Oracle,14,10,4,0,3,0,2,5,0,0,0,1,3,0,0.5,0.6,0.25, The International 2022'
Bane,11,8,3,0,1,0,3,4,0,0,0,0,1,2,0.5454545455,0.5,0.6666666667, The International 2022'
Arc Warden,11,6,5,0,2,1,0,0,1,2,0,2,1,2,0.5454545455,0.6666666667,0.4, The International 2022'
Vengeful Spirit,10,9,1,0,0,0,4,2,2,1,0,0,1,0,0.6,0.5555555556,1, The International 2022'
Phoenix,10,5,5,0,0,0,1,3,0,0,1,0,2,3,0.7,0.6,0.8, The International 2022'
Witch Doctor,9,8,1,0,0,0,2,4,1,0,1,0,1,0,0.4444444444,0.375,1, The International 2022'
